startdate,governorate,district,gpslatend,gpslongend,locationtypeend,sizeexact,sizeestimate,demandtypeone,demandtypetwo,orgtypefirst,tacticprimary,tacticsecondary,violence,propertydamage,repression,teargas,rubberbullets,liveammo,sticks,surround,dogs,cleararea,policerepress,milrepress,beltegeyyarepress,militiarepress,partyrepress,employerrepress,otherrepress,killed,injured,arrested,country,target,MBproperty,residentsrepress,MBrepress
2019-09-16,Wassit,,32.503994,45.823975,Government building,,-99.0,Labor,Contracts,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-16,Muthanna,,31.32006,45.274103,Hospital,,-99.0,Labor,Job security / promotions,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-16,Basrah,,31.072145,47.60993,Factory or industrial site,,31.0,Labor,Rights of businessmen,,Demonstration / protest,Roadblock or blockade,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-16,Qadissiya,,31.99282,44.912732,Hospital,,31.0,Labor,Wages,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-18,Kerbala,,32.606057,44.032314,Government building,,-99.0,Environmental,Land use,,Mass attack or mob,,Riot,Mob action but no property damage,Physical harassment,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-19,Basrah,,30.400766,47.699993,Infrastructure,,31.0,Social,Infrastructure,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-19,Muthanna,Al-Samawa,,,Cannot be determined,,301.0,Labor,Rights of businessmen,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-19,Basrah,,30.511499,47.828917,Government building,,31.0,Labor,Unemployment,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-20,ThiQar,,31.045465,46.253139,Midan,,31.0,Environmental,Land use,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-20,Basrah,Basrah,,,Cannot be determined,,-99.0,Labor,Rights of businessmen,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-21,Basrah,,30.504768,48.021411,Main road,,5.0,Labor,Rights of businessmen,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-22,Basrah,,30.51407,47.809894,Government building,,301.0,Labor,Contracts,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-23,Basrah,,31.071874,47.609425,Factory or industrial site,,5.0,Labor,Rights of businessmen,,Demonstration / protest,Roadblock or blockade,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-24,Baghdad,,33.316887,44.424961,Government building,,301.0,Social,Cost of living,,March,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-25,Qadissiya,,31.987004,44.912315,Government building,,31.0,Labor,Wages,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-25,Muthanna,,31.305789,45.287195,Government building,,5.0,Labor,Wages,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-26,Muthanna,Al-Rumaitha,,,Cannot be determined,,31.0,Social,Infrastructure,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-26,Basrah,Basrah,,,Cannot be determined,,5.0,Human rights / civic freedoms,Repression / police violence,,March,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-26,Qadissiya,,31.988828,44.916015,Government building,,31.0,Labor,Rights of businessmen,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-27,SalahalDin,Balad,,,Cannot be determined,,3001.0,Religious,Opposing the sectarianization of government or politics,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-27,Baghdad,,33.328647,44.409692,Midan,,301.0,Human rights / civic freedoms,Repression / police violence,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-27,Najaf,,32.001045,44.33072,Midan,,31.0,Human rights / civic freedoms,Repression / police violence,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-27,Kerbala,,32.606679,44.026508,Midan,,-99.0,Human rights / civic freedoms,Repression / police violence,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-27,Qadissiya,Diwaniya,,,Cannot be determined,,31.0,Human rights / civic freedoms,Repression / police violence,,March,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-28,Baghdad,Khadamiya,,,Main road,,-99.0,Politics (national),Other,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-09-29,Ninewa,,36.381267,43.183516,Midan,,3001.0,Politics (national),Other,,Demonstration / protest,,None,None,Physical harassment,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-01,Baghdad,,33.327682,44.408315,Midan,,3001.0,Politics (national),Fall of the regime,,Demonstration / protest,Mass attack or mob,Brawl or gang violence,Sporadic looting or arson,Deaths inflicted,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,3.0,125.0,-1.0,Iraq,,,,
2019-10-01,Baghdad,Mada'in,,,Main road,,-99.0,Politics (national),Government resign,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-01,Baghdad,Al Sadr,,,Main road,,-99.0,Politics (national),Government resign,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-01,Baghdad,,33.375739,44.431926,Main road,,-99.0,Politics (national),Government resign,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-01,Baghdad,Al Sadr,,,Main road,,-99.0,Politics (national),Government resign,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-01,Baghdad,Adhamiya,,,Main road,,-99.0,Politics (national),Government resign,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-01,Baghdad,Al Resafa,,,Main road,,-99.0,Politics (national),Government resign,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-01,Baghdad,Karkh,,,Main road,,-99.0,Politics (national),Government resign,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-01,ThiQar,,31.051934,46.240249,Government building,1000.0,,Politics (national),Fall of the regime,,Demonstration / protest,Mass attack or mob,Riot,Sporadic looting or arson,Deaths inflicted,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,3.0,3.0,0.0,Iraq,,,,
2019-10-01,Basrah,,30.510712,47.82957,Government building,,-99.0,Politics (national),Government resign,,Demonstration / protest,Roadblock or blockade,Riot,None,Arrests / detentions,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,0.0,0.0,11.0,Iraq,,,,
2019-10-01,Wassit,,32.503634,45.82394,Government building,,31.0,Politics (national),Government resign,,Demonstration / protest,,None,None,Arrests / detentions,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,0.0,0.0,30.0,Iraq,,,,
2019-10-01,Najaf,,32.000874,44.330471,Midan,,31.0,Politics (national),Government resign,,Demonstration / protest,,None,None,Arrests / detentions,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,-1.0,Iraq,,,,
2019-10-01,Baghdad,,33.327245,44.409552,Midan,,31.0,Politics (national),Government resign,,Demonstration / protest,,None,None,Physical harassment,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-01,Diyala,,33.745307,44.640286,Government building,,-99.0,Social,Cost of living,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-01,Kerbala,,,,Cannot be determined,,-99.0,Politics (national),Government opposition,,Demonstration / protest,,None,None,Physical harassment,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-01,Missan,,31.851427,47.150443,Government building,,-99.0,Politics (national),Unspecified,,Demonstration / protest,Occupation / sit-in,None,None,Injuries inflicted,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,0.0,-1.0,-1.0,Iraq,,,,
2019-10-01,Qadissiya,Diwaniya,,,Cannot be determined,,-99.0,Politics (national),Unspecified,,Demonstration / protest,,None,None,Physical harassment,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-01,Muthanna,,,,Cannot be determined,,-99.0,Politics (national),Unspecified,,Demonstration / protest,,None,None,Physical harassment,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-01,Babylon,,,,Cannot be determined,,-99.0,Politics (national),Unspecified,,Demonstration / protest,,None,None,Injuries inflicted,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,-1.0,0.0,Iraq,,,,
2019-10-02,Missan,,31.851865,47.15104,Government building,,31.0,Corruption,Corruption in politics/government,,Demonstration / protest,Mass attack or mob,Riot,Sporadic looting or arson,Deaths inflicted,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,4.0,44.0,2.0,Iraq,,,,
2019-10-02,Kirkuk,,35.463191,44.398712,Midan,,301.0,Corruption,Corruption in politics/government,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-02,Baghdad,,33.328776,44.40913,Midan,,301.0,Politics (national),Government resign,,Demonstration / protest,,Brawl or gang violence,Mob action but no property damage,Deaths inflicted,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0,0,0,5.0,125.0,-1.0,Iraq,,,,
2019-10-02,Baghdad,,33.361876,44.335243,Midan,,301.0,Politics (national),Government resign,,Demonstration / protest,Roadblock or blockade,Riot,Mob action but no property damage,Physical harassment,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-02,Basrah,,30.497583,47.792729,Main road,,301.0,Politics (national),Fall of the regime,,Demonstration / protest,Roadblock or blockade,Riot,Mob action but no property damage,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-02,Qadissiya,,31.986511,44.911868,Government building,,-99.0,Politics (national),Unspecified,,Demonstration / protest,Mass attack or mob,Riot,Sporadic looting or arson,Physical harassment,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-02,Najaf,,32.010017,44.354656,Government building,,31.0,Politics (national),Unspecified,,Demonstration / protest,Mass attack or mob,Brawl or gang violence,Sporadic looting or arson,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-02,ThiQar,,31.052701,46.238881,Government building,,-99.0,Social,Infrastructure,,Demonstration / protest,Mass attack or mob,Riot,Sporadic looting or arson,Deaths inflicted,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,1.0,-1.0,0.0,Iraq,,,,
2019-10-02,Muthanna,,31.306699,45.287973,Government building,,-99.0,Social,Infrastructure,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-02,Babylon,,32.491283,44.438208,Government building,,3001.0,Social,Infrastructure,,Demonstration / protest,Mass attack or mob,Riot,Sporadic looting or arson,Injuries inflicted,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,0,0.0,0.0,0,0,0,0.0,-1.0,0.0,Iraq,,,,
2019-10-02,Najaf,,32.000513,44.331548,Party building,,31.0,Politics (national),Other party/ movement/militia opposition,,Demonstration / protest,Mass attack or mob,Brawl or gang violence,Sporadic looting or arson,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-02,Kerbala,,32.606048,44.032214,Government building,,301.0,Human rights / civic freedoms,Repression / police violence,,Demonstration / protest,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-02,Baghdad,Al Sadr,,,Cannot be determined,,-99.0,Politics (national),Unspecified,,Demonstration / protest,Roadblock or blockade,Riot,Mob action but no property damage,Physical harassment,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-02,Baghdad,,33.289799,44.303317,Main road,,31.0,Politics (national),Unspecified,,Demonstration / protest,Roadblock or blockade,Riot,Mob action but no property damage,Physical harassment,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-02,Baghdad,,33.260774,44.498772,Main road,,-99.0,Politics (national),Unspecified,,Demonstration / protest,Roadblock or blockade,Riot,Mob action but no property damage,Physical harassment,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-02,Baghdad,Al Sadr,,,Cannot be determined,,-99.0,Politics (national),Unspecified,,Demonstration / protest,Roadblock or blockade,Riot,Mob action but no property damage,Physical harassment,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-02,Baghdad,,33.330526,44.412557,Midan,,-99.0,Politics (national),Unspecified,,Demonstration / protest,,None,None,Physical harassment,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-02,Najaf,,32.029981,44.404769,Main road,,31.0,Politics (national),Unspecified,,Demonstration / protest,,Brawl or gang violence,Mob action but no property damage,Injuries inflicted,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,0.0,16.0,0.0,Iraq,,,,
2019-10-02,Baghdad,,33.326847,44.407401,Midan,,301.0,Politics (national),Unspecified,,Demonstration / protest,Mass attack or mob,Brawl or gang violence,Mob action but no property damage,Injuries inflicted,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1,0.0,0.0,0,0,0,0.0,1.0,0.0,Iraq,,,,
2019-10-02,Baghdad,,33.269435,44.256188,Main road,,-99.0,Politics (national),Unspecified,,Roadblock or blockade,Demonstration / protest,Riot,Mob action but no property damage,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-02,Najaf,,31.999525,44.379322,Main road,,-99.0,Politics (national),Unspecified,,March,,None,None,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-02,Wassit,,32.50474,45.829173,Midan,,31.0,Politics (national),Unspecified,,Demonstration / protest,,Riot,Mob action but no property damage,Deaths inflicted,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,1.0,35.0,0.0,Iraq,,,,
2019-10-03,ThiQar,,31.045468,46.253766,Midan,,3001.0,Politics (national),Fall of the regime,,Demonstration / protest,Mass attack or mob,Brawl or gang violence,Mob action but no property damage,Deaths inflicted,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0.0,1.0,0,0,0,6.0,25.0,5.0,Iraq,,,,
2019-10-03,Baghdad,,33.328001,44.409618,Midan,,301.0,Politics (national),Fall of the regime,,Demonstration / protest,,None,Mob action but no property damage,Deaths inflicted,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0,0,0,-1.0,0.0,0.0,Iraq,,,,
2019-10-03,Baghdad,,33.277119,44.328461,Main road,,31.0,Politics (national),Fall of the regime,,Demonstration / protest,Mass attack or mob,Brawl or gang violence,Total property destruction,Physical harassment,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-03,ThiQar,,31.717098,46.105298,Government building,,-99.0,Politics (national),Unspecified,,Demonstration / protest,Mass attack or mob,Riot,Mob action but no property damage,Injuries inflicted,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,0.0,-1.0,0.0,Iraq,,,,
2019-10-03,Najaf,,32.006702,44.347661,Police station,,-99.0,Politics (national),Unspecified,,Demonstration / protest,Mass attack or mob,Brawl or gang violence,Mob action but no property damage,"No known coercion, no security presence",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,Iraq,,,,
2019-10-03,Missan,Amara,,,Cannot be determined,,-99.0,Politics (national),Government opposition,,Demonstration / protest,,None,None,Arrests / detentions,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,0.0,0.0,-1.0,Iraq,,,,
2019-10-03,Baghdad,,33.362308,44.334487,Midan,,-99.0,Labor,Unemployment,,Demonstration / protest,Mass attack or mob,Brawl or gang violence,Sporadic looting or arson,Injuries inflicted,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0.0,0.0,0,0,0,0.0,-1.0,-1.0,Iraq,,,,
