recordnumber,nameofevent,startdate,endate,governorate,district,disengcampas,location,gpslat,gpslong,locationtype,tahrir,ittihadeyya,parliament,rabaa,minofdef,sizeexact,sizeestimate,sizecategory,demandtypeone,demandtypetwo,demandother,target,antiMB,antiMorsi,antiSCAF,Morsifall,milintervene,organizer,orgtype,orgMB,orgNSF,orgTamarod,youth/students,laborers/workers,peasants/farmers,party members,activists/movts,gov workers,business,residents,ultras,salafis,copts,MB,soldiers,police,feloul,secularopp,participantother,tacticprimary,tacticsecondary,campaign,Tamarodcampaign,violence,propertydamage,MBproperty,repression,repressiontype,policerepress,milrepress,beltegeyyarepress,residentsrepress,partyrepress,employerrepress,MBrepress,otherrepress,killed,injured,arrested
201201032,,1/5/2012,1/7/2012,Aswan,Aswan City,Aswan City,جهاز مدينة أسوان,,,Government building,0,0,0,0,0,,-99,Size category cannot be determined,Labor,Working conditions,,Government employer,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Strike,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201019,,1/5/2012,,Giza,,Imbaba,شارع طلعت حرب,30.079482,31.198741,Main road,0,0,0,0,0,,-99,Size category cannot be determined,Politics (national),Party opposition,,Political party or group,0,0,0,0,0,اللجنة الشعبية للدفاع عن الثورة,Political movement,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,حركة ٦ أبريل,Demonstration / protest,Roadblock or blockade,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201027,,1/6/2012,,SouthSinai,At-Tur,Al-Tur,طريق الجبيل,,,Main road,0,0,0,0,0,,-99,Size category cannot be determined,Politics (national),Party support,,Political party or group,0,0,0,0,0,الإخوان المسلمون,Political party,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,March,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201026,,1/6/2012,,SouthSinai,,Al-Tur,محكمة جنوب سيناء,28.241397,33.627076,Government building,0,0,0,0,0,,31,10-99 participants,Politics (national),Elections,against the results of the elections of the People 's Assembly,Courts/judiciary,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,البدو,Occupation / sit-in,Roadblock or blockade,,0.0,Riot,None,0,Physical harassment,Escalated crowd control,0,1,0,0,0,0,0,0,0,0,0
201201025,,1/6/2012,,Dakhaliyya,,E Mansora 2,استاد المنصورة,31.034873,31.393731,Other,0,0,0,0,0,,3001,"1,000-4,999 participants",Politics (national),Party support,,The Parliament,0,0,0,0,0,حزب الحرية والعدالة والنور ,Political party,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,,Demonstration / protest,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201023,,1/6/2012,,Asyut,Asyut 1,Kesm Awal Assuit,أسيوط ,,,Cannot be determined,0,0,0,0,0,,-99,Size category cannot be determined,Human rights / civic freedoms,Repression / police violence,,Courts/judiciary,0,0,0,0,0,"الجبهة السلفية , ائتلاف الشباب السلفى، ائتلاف المسلمين الجدد",Religious group,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,Demonstration / protest,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201028,,1/6/2012,1/7/2012,Qena,,Nag Hammadi,السكك الحديدية بالمزلقان الرئيسى,26.043293,32.240869,Infrastructure,0,0,0,0,0,,301,100-999 participants,Politics (national),Elections,against the results of the elections of the People 's Assembly,Courts/judiciary,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Roadblock or blockade,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201037,,1/6/2012,1/8/2012,Qena,,Nag Hammadi,نجع حمادى,26.046873,32.240783,Cannot be determined,0,0,0,0,0,,-99,Size category cannot be determined,Politics (national),Elections,against the results of the elections of the People 's Assembly,Courts/judiciary,0,0,0,0,0,شباب «الثورة مستمرة» وملتقى شباب نجع حمادى»,Political movement,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,Demonstration / protest,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201020,,1/6/2012,,Cairo,,Qasr Al-Nile,دار القضاء العالى,30.053139,31.239772,Government building,0,0,0,0,0,600.0,,100-999 participants,Human rights / civic freedoms,Repression / police violence,,Courts/judiciary,0,0,0,0,0,"الجبهة السلفية , ائتلاف الشباب السلفى، ائتلاف المسلمين الجدد",Religious group,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,Demonstration / protest,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201024,,1/6/2012,,Cairo,,Qasr Al-Nile,"ميدان التحرير , دار القضاء العالى",30.053178,31.238928,Government building,1,0,0,0,0,,31,10-99 participants,Politics (national),Government opposition,,Courts/judiciary,0,0,1,0,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Demonstration / protest,March,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201022,,1/6/2012,,Qena,Qina City,Qina,قنا ,,,Cannot be determined,0,0,0,0,0,,-99,Size category cannot be determined,Human rights / civic freedoms,Repression / police violence,,Courts/judiciary,0,0,0,0,0,"الجبهة السلفية , ائتلاف الشباب السلفى، ائتلاف المسلمين الجدد",Religious group,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,Demonstration / protest,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201034,,1/6/2012,1/8/2012,Qena,,Qina,طريق الزراعى «مصر ــ أسوان»,26.14092,32.698132,Main road,0,0,0,0,0,,-99,Size category cannot be determined,Politics (national),Elections,against the results of the elections of the People 's Assembly,Courts/judiciary,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Roadblock or blockade,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201035,,1/6/2012,1/8/2012,Qena,,Qina,طريق الصحراوى الغربى «مصر ــ أسوان»,26.174886,32.693305,Main road,0,0,0,0,0,,-99,Size category cannot be determined,Politics (national),Elections,against the results of the elections of the People 's Assembly,Courts/judiciary,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Roadblock or blockade,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201021,,1/6/2012,,Alexandria,,Sidi Gabir,"مقر الأمن الوطنى , من مسجد القائد إبراهيم",31.212473,29.952536,Government building,0,0,0,0,0,2000.0,,"1,000-4,999 participants",Human rights / civic freedoms,Repression / police violence,,Courts/judiciary,0,0,0,0,0,"الجبهة السلفية , ائتلاف الشباب السلفى، ائتلاف المسلمين الجدد",Religious group,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,Demonstration / protest,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201029,,1/7/2012,,Asyut,,,أسيوط,,,Cannot be determined,0,0,0,0,0,,31,10-99 participants,Social,Infrastructure,,Regional or local government,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Roadblock or blockade,Mass attack or mob,,0.0,Riot,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201033,,1/7/2012,,Beheira,,,,,,Cannot be determined,0,0,0,0,0,8.0,,Less than 10,Politics (national),Elections,against the results of the elections of the People 's Assembly,Courts/judiciary,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Occupation / sit-in,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201036,,1/7/2012,,Qena,,Abu Tisht,مركز شرطة أبوتشت,26.118013,32.095186,Police station,0,0,0,0,0,,301,100-999 participants,Politics (national),Elections,against the results of the elections of the People 's Assembly,Courts/judiciary,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Demonstration / protest,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201030,,1/7/2012,,Cairo,,Al Wayli,الكاتدرائية المرقسية بالعباسية,30.071444,31.27457,Church,0,0,0,0,0,,5,Less than 10,Politics (national),Government opposition,,The military,0,0,1,0,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Demonstration / protest,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201031,,1/7/2012,,Suez,,Ataqa,قرية مارينا السياحية,29.252584,32.619341,Other,0,0,0,0,0,,301,100-999 participants,Labor,Contracts,,Government employer,0,0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Occupation / sit-in,Roadblock or blockade,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201038,,1/7/2012,,Asyut,,Kesm Than Assuit,رصيف محطة أسيوط,27.180096,31.188413,Infrastructure,0,0,0,0,0,300.0,,100-999 participants,Social,Infrastructure,,Government employer,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Demonstration / protest,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201041,,1/8/2012,,Asyut,,Abnub,الطريق الصحراوى الشرقى (أسيوط - القاهرة),27.323038,31.204128,Main road,0,0,0,0,0,,301,100-999 participants,Social,Infrastructure,,Regional or local government,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Roadblock or blockade,,,0.0,None,None,0,Security forces or other repressive groups present at event,,1,0,0,0,0,0,0,0,0,0,0
201201052,,1/8/2012,,Suez,,Al-Arbiin,شركة موبكو,29.958671,32.504743,Factory or industrial site,0,0,0,0,0,,-99,Size category cannot be determined,Labor,Working conditions,,Government employer,0,0,0,0,0,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Occupation / sit-in,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201053,,1/8/2012,,Suez,,Al-Arbiin,شركة النصر للبترول,29.962537,32.530485,Factory or industrial site,0,0,0,0,0,,31,10-99 participants,Labor,Job security / promotions,,Government employer,0,0,0,0,0,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Occupation / sit-in,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201055,,1/8/2012,,Sharqiyya,,Al-Husayniya, الطرق المؤدية إلى مدينة المنصورة ,30.911761,31.900799,Main road,0,0,0,0,0,,31,10-99 participants,Security,Demanding security,,The police,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Roadblock or blockade,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201042,,1/8/2012,,Asyut,,Assuit,الطريق الزراعى,27.151261,31.220197,Main road,0,0,0,0,0,,-99,Size category cannot be determined,Social,Infrastructure,,Regional or local government,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Demonstration / protest,Roadblock or blockade,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201043,,1/8/2012,,Asyut,,Assuit,الطريق الزراعى,27.151796,31.216506,Main road,0,0,0,0,0,,-99,Size category cannot be determined,Social,Infrastructure,,Regional or local government,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Demonstration / protest,Roadblock or blockade,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201044,,1/8/2012,,Asyut,,Assuit,الطريق الزراعى,27.153047,31.214403,Main road,0,0,0,0,0,,-99,Size category cannot be determined,Social,Infrastructure,,Regional or local government,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Demonstration / protest,Roadblock or blockade,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201045,,1/8/2012,,Asyut,,Assuit,الطريق الزراعى,27.15593,31.211946,Main road,0,0,0,0,0,,-99,Size category cannot be determined,Social,Infrastructure,,Regional or local government,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Demonstration / protest,Roadblock or blockade,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201046,,1/8/2012,,Asyut,,Assuit,الطريق الزراعى,27.157534,31.210937,Main road,0,0,0,0,0,,-99,Size category cannot be determined,Social,Infrastructure,,Regional or local government,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Demonstration / protest,Roadblock or blockade,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201047,,1/8/2012,,Asyut,,Assuit,الطريق الزراعى,27.151416,31.228278,Main road,0,0,0,0,0,,-99,Size category cannot be determined,Social,Infrastructure,,Regional or local government,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Demonstration / protest,Roadblock or blockade,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201048,,1/8/2012,,Asyut,,Assuit,الطريق الزراعى,27.15153,31.230939,Main road,0,0,0,0,0,,-99,Size category cannot be determined,Social,Infrastructure,,Regional or local government,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Demonstration / protest,Roadblock or blockade,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201054,,1/8/2012,,Alexandria,,Bab Sharqi,مكتبة الإسكندرية,31.208604,29.909577,Government building,0,0,0,0,0,,31,10-99 participants,Labor,Working conditions,,Government employer,0,0,0,0,0,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Roadblock or blockade,Demonstration / protest,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201058,,1/8/2012,,Cairo,,Basatin,المجلس القومى لرعاية أسر الشهداء ,29.975892,31.275924,Government building,0,0,0,0,0,,31,10-99 participants,Social,Social welfare program,,Government employer,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,أسر شهداء ومصابى الثورة,Roadblock or blockade,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201051,,1/8/2012,1/9/2012,KafralSheikh,Disuq,Disuq,مصنع تعبئة أسطوانات البوتاجاز,,,Factory or industrial site,0,0,0,0,0,112.0,,100-999 participants,Labor,Wages,,Government employer,0,0,0,0,0,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Strike,Hunger strike,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201059,,1/8/2012,,NorthSinai,,El Arish 1,مبنى المحافظة,31.143823,33.831057,Government building,0,0,0,0,0,30.0,,10-99 participants,Labor,Hiring,,Regional or local government,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Demonstration / protest,Roadblock or blockade,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201050,,1/8/2012,,Fayyum,,Fayyum,الطريق الدائرى,29.311953,30.871749,Main road,0,0,0,0,0,,301,100-999 participants,Social,Infrastructure,,Regional or local government,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Roadblock or blockade,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201057,,1/8/2012,,KafralSheikh,,Kafr Al-Shaykh,الصيادلة الحكوميون,31.113449,30.94023,Hospital,0,0,0,0,0,,-99,Size category cannot be determined,Labor,Wages,,Government employer,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Strike,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201056,,1/8/2012,,Minia,,Kesm Al-minya,مركز الإسعاف,28.101621,30.752649,Hospital,0,0,0,0,0,,-99,Size category cannot be determined,Labor,Contracts,,Government employer,0,0,0,0,0,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Strike,Roadblock or blockade,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201066,,1/8/2012,,Minia,,Kesm Al-minya,كوبرى المنيا,28.092101,30.767871,Main road,0,0,0,0,0,300.0,,100-999 participants,Social,Infrastructure,,Regional or local government,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Roadblock or blockade,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201049,,1/8/2012,,Minia,,Markz Maghagha,طريق الجيش الجديد,28.599495,30.81775,Main road,0,0,0,0,0,150.0,,100-999 participants,Social,Infrastructure,,Regional or local government,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Roadblock or blockade,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201060,,1/8/2012,,Qena,Naj' Hammadi,Nag Hammadi,قرية العبادية,,,Cannot be determined,0,0,0,0,0,,31,10-99 participants,Security,Demanding security,,The police,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Demonstration / protest,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
201201039,,1/8/2012,,Qena,,Qina,محكمة القضاء الإدارى,26.157203,32.721889,Government building,0,0,0,0,0,,31,10-99 participants,Politics (national),Elections,against the results of the elections of the People 's Assembly,Courts/judiciary,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,المرشحين الخاسرين,Demonstration / protest,,,0.0,None,None,0,"No known coercion, no security presence",,0,0,0,0,0,0,0,0,0,0,0
