 ,Section 1: Basic Information,,,,,,,,,Section 2: Location,,,,,,,,,Section 3: Size,,,,Section 4: Demands,,,,,Section 5: Organizers and Participants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section 6: Tactics,,,,,Section 7: Repression & Concessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20192138,DFY,2020-12-27,Activists protest against US representative David Hale arrival to Beirut,Anti US mobilization,2019-12-19,2019-12-19,0,0,0,Beirut,Beirut,RHIA ,33.83494441,35.49588929,Infrastructure,,,,,3,Few (pic),,Politics (regional/international),Against US,,politics (other),,Unspecified Activists,CSOs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2019-12-19,NNA,تجمع لناشطين امام مدخل المطار اعتراضا على زيارة دايفيد هيل,,http://nna-leb.gov.lb/ar/show-news/452757/,,,,,,,,,,,,,
20200818,DFY,2021-12-31,Activists protest in front of the minister of telecommunication Talal Hawwat in Boulevard Riyad Al Solh,Thawra,2020-03-07,2020-03-07,0,0,0,North,Tripoli,Sami Solh Boulevard,33.87429494,35.51847827,House of Politician,,,,,-99,Unspecified,,Corruption,Corruption in politics/government,,non-political,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,Occupation / sit-in,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2020-03-07,NNA,وقفة أمام منزل حواط في طرابلس: لاسترداد شركتي الخلوي,,http://nna-leb.gov.lb/ar/show-news/466121/,,,,,,,,,,,,,
20200150,DFY,2021-09-09,Activists shame publicly the MP Emile Rahmeh in Kaslik,Thawra,2020-01-12,2020-01-12,0,0,0,Mount Lebanon,Keserwan,Lina's Cafe - Kaslik,33.97916026,35.615612,Other,,,,,5,لعدد من المحتجين,,Politics (national),Other,toadd: Publicly shaming a politician,politics (other),,Activists,CSOs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Other,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2020-01-12,NNA,إميل رحمة يوضح للـ LBCI ما حصل بينه وبين المحتجين داخل أحد المطاعم...,,https://www.lbcgroup.tv/news/d/lebanon-revolts/494758/%D8%A7%D9%84%D9%86%D8%A7%D8%A6%D8%A8-%D8%A7%D9%84%D8%B3%D8%A7%D8%A8%D9%82-%D8%A5%D9%85%D9%8A%D9%84-%D8%B1%D8%AD%D9%85%D8%A9-%D9%8A%D9%88%D8%B6%D8%AD-%D9%84%D9%84%D9%80-lbci-%D9%85%D8%A7-%D8%AD%D8%B5%D9%84-%D8%A8%D9%8A%D9%86%D9%87/ar,,,,,,,,,,,,,
20200856,DFY,2021-12-27,African refugees continue hunger strike while ISF tries to repress them,Thawra,2020-03-11,2020-03-11,0,1,0,Beirut,Beirut,UNHCR Jnah,33.87232696,35.49173164,UN Headquarters ,,,,,-99,Unspecified,,Human rights / civic freedoms,Support of Refugees,,non-political,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,Hunger strike,,,None,None,Security forces present at event,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,0,0,0,0,2020-03-11,Akhbar Assaha,"‼️Support needed at UNHCR‼️ The African refugees to lebanon have been in peaceful protest for the last 3 months, opposite the refugee council.",,https://www.facebook.com/akhbaralsahaEN/videos/3669833349753314/,,,,,,,,,,,,,
20200845,DFY,2021-12-27,African refugees declare a hunger strike against UNHCR's neglect,Thawra,2020-03-09,2020-03-09,0,0,0,Beirut,Beirut,UNHCR Jnah,33.87235202,35.49176043,UN Headquarters ,,,,,-99,Unspecified,,Human rights / civic freedoms,Support of Refugees,,non-political,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,Hunger strike,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2020-03-09,Akhbar Assaha,#African refugees begin an open hunger strike amid #UNHCR’s continuing denial of their rights and demands.,,https://www.facebook.com/akhbaralsahaEN/posts/1520854048080077?__tn__=-R,,,,,,,,,,,,,
20200868,DFY,2021-12-25,African refugees sit in in front of UNHCR in Jnah,Thawra,2020-03-13,2020-03-13,0,0,0,Beirut,Beirut,UNHCR Jnah,33.87234436,35.49175236,UN Headquarters ,,,,,3,Few (pic),,Human rights / civic freedoms,Support of Refugees,asking for shelter,non-political,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,Occupation / sit-in,Hunger strike,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2020-03-13,Akhbar Assaha,للاجئين/ات الأفارقة المعتصمين أمام مفوضية شؤون اللاجئين في #الجناح ما عندن بيوت. وأول مبارح قوى الأمن شالت الخيم وجزء كبير من غراضن. والمفوضية عم تتجاهل مطالبن رغم انن صرلن أشهر معتصمين بكل سلمية ومن كم يوم بلش عدد منهم اضراب عن الطعام,,https://www.facebook.com/akhbaralsaha/videos/502758187080588/,,,,,,,,,,,,,
20200597,DFY,2021-10-24,Ain el Helwe youth organized a march against deal of the century ,Thawra,2020-02-09,2020-02-09,0,0,0,South,Sidon,Ain el Helwe refugee camp,33.53495513,35.37869118,Refugee Camp,,,,,31,Tens (pic),,Politics (regional/international),Supporting Palestine,,politics (other),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2020-02-09,NNA,تظاهرة في مخيم عين الحلوة رفضا لصفقة القرن,,http://nna-leb.gov.lb/ar/show-news/461174/,,,,,,,,,,,,,
20191763,DFY,2020-12-22,Al Hanan NGO for PWD demonstrates in front of NGO HQ,International Day of People with Disabilities,2019-12-03,2019-12-03,0,0,0,South,Tyre,Al Hanan NGO - Tyre,33.30450241,35.27722014,I/NGO,,,,,31,tens (pic),,Social,Social welfare program,,non-political,,Al Hanan NGO,NGOs ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2019-12-03,NNA,اعتصام لطلاب جمعية الحنان في يوم الاعاقة مطالبين بحقوقهم,,http://nna-leb.gov.lb/ar/show-news/449913/,,,,,,,,,,,,,
20191020,DFY,2020-10-25,Al Mina fishermen in Tripoli organize a convoy in solidarity with Tripoli's uprise,Thawra,2019-11-10,2019-11-10,0,0,0,North,Tripoli,Al mina,34.4509393,35.8102611,Syndicate/union,,,,,31,Tens (est),,Thawra 2019,Other,toadd: Social security,politics (other),,Fishermen,Union / syndicate / workers federation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,Other,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2019-11-10,NNA,ازدحام مرفأ الصيادين في الميناء وتظاهرة ومسيرة بحرية,,http://nna-leb.gov.lb/ar/show-news/446054/,,,,,,,,,,,,,
20191778,DFY,2020-12-22,Alaa Abu Fakhr memorial at Khalde triangle,Thawra,2019-12-03,2019-12-03,0,0,0,Mount Lebanon,Aley,Khalde Triangle,33.78967459,35.4806059,Main road,,,,,31,Tens (vid),,Security,Justice for Alaa Abu Fakhr,toadd: Memorial of a thawra martyr,non-political,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,Funeral march / funeral,Other,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2019-12-03,LBC News Bulletin,LBC News Bulletin 2019-12-03,,News Bulletin 03/12/2019 - Nightly News Bulletin (lbcgroup.tv),,,,,,,,,,,,,
20191207,DFY,2020-10-30,"Alaa abu fakhr's death by LAF, Jomblat visits the hospital",Thawra/CR-LAF,2019-11-13,2019-11-13,0,0,0,Mount Lebanon,Chouf,Mothalath Khalde,33.788585,35.478324,Midan/Square,,,,,31,Tens (pic),,Security,Justice for Alaa Abu Fakhr,,non-political,,PSP,Sectarian Political Party,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Other,,,None,None,Deaths inflicted,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,1,0,0,2019-11-13,NNA,وفاة علاء ابو فخر متأثرا بجروحه,,http://nna-leb.gov.lb/ar/show-news/446534/nna-leb.gov.lb/ar,,,,,,,,,,,,,
20190961,DFY,2020-10-25,ALFA (Dekwani) employees strike for the second day,Thawra,2019-11-08,2019-11-08,0,0,0,Mount Lebanon,Matn,Alfa - Dekwaneh,33.88367783,35.54674288,Infrastructure,,,,,31,tens (pic),,Labor,Job security / promotions,,non-political,,موظفي شركة الفا,Union / syndicate / workers federation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Strike,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2019-11-08,NNA,موظفو الفا في الدكوانة يواصلون اعتصامهم,,http://nna-leb.gov.lb/ar/show-news/445747/,,,,,,,,,,,,,
20191050,DFY,2020-10-30,Alfa and Touch workers declared an open strike,TELECOM workers rights,2019-11-12,2019-11-12,0,0,0,National,National,Alfa and Touch centers,0,0,Infrastructure,,,,,31,Tens (pic),,Labor,Job security / promotions,,non-political,,موظفو الشركتين المشغلتين لقطاع الخليوي,Union / syndicate / workers federation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Strike,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2019-11-12,NNA,موظفو ألفا وتاتش بدأوا إضرابهم المفتوح احتجاجا على عدم إنصافهم,,http://nna-leb.gov.lb/ar/show-news/446341/,,,,,,,,,,,,,
20192032,DFY,2020-12-26,Alfouwar residents blockroad protesting electricity cuts,Thawra,2019-12-13,2019-12-13,0,0,0,North,Miniyeh-Danniyeh,Al Fouwar village,34.43049997,35.88441054,Main road,,,,,3,Few (pic),,Social,Electricity,,non-political,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Fouwar Residents,,,,Roadblock or blockade,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2019-12-13,NNA,أهالي الفوار قطعوا طريق الضنية إحتجاجا على انقطاع الكهرباء,,http://nna-leb.gov.lb/ar/show-news/451744/,,,,,,,,,,,,,
20190253,DFY,2020-05-30,Ali Bazzi thugs attack protestors fiercly in Bint Jbeil,Thawra,2019-10-21,2019-10-21,0,0,0,Nabatieh,Bint Jbeil,Saray Bint Jbeil,33.117287,35.431972,Government building,,,,,-99,Unspecified,,Politics (national),Other,Pro-Amal,politics (other),,Amal thugs - Ali Bazzi,Sectarian Political Party,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,Demonstration / protest,,,Brawl or gang violence,Mob action but no property damage,Physical harassment,0,0,0,0,0,0,0,1,0,1,1,1,0,0,,0,0,0,0,2019-10-21,Annahar,بالفيديو- رشق المعتصمين بالحجارة أمام سرايا بنت جبيل,,https://www.annahar.com/article/1053963-%D8%A8%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D8%B1%D8%B4%D9%82-%D8%A7%D9%84%D9%85%D8%B9%D8%AA%D8%B5%D9%85%D9%8A%D9%86-%D8%A8%D8%A7%D9%84%D8%AD%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A3%D9%85%D8%A7%D9%85-%D8%B3%D8%B1%D8%A7%D9%8A%D8%A7-%D8%A8%D9%86%D8%AA-%D8%AC%D8%A8%D9%8A%D9%84,,,,,,,,,,,,,
20191574,DFY,2020-11-08,Amal and Hizballa supported candelit vigil in Nabatieh,CR-Amal and Hizballa,2019-11-26,2019-11-26,0,0,0,Nabatieh,Nabatieh,Nabatieh,33.37748809,35.4815706,Not specified,,,,,-99,Unspecified,,Security,Justice to Shalhoub and al Jundi,,non-political,,Amal and Hizballa,Sectarian Political Party,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2019-11-26,The Daily Star,"Hezbollah, Amal dampen protest mood",,http://www.dailystar.com.lb/News/Lebanon-News/2019/Nov-26/496264-hezbollah-amal-dampen-protest-mood.ashx,,,,,,,,,,,,,
20191571,DFY,2020-11-08,Amal and Hizballa supporters burn down tents in Tyre,CRThawra,2019-11-26,2019-11-26,0,0,0,South,Tyre,Tyre,33.26969291,35.20400111,Midan/Square,,,,,-99,Unspecified,,Politics (national),Other,Anti thawra,politics (other),,Amal and Hizbolla supporters,Sectarian Political Party,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Mass attack or mob,,,None,None,Party Militias/ Baltagia present at event,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,0,0,0,0,2019-11-26,The Daily Star,Day 41: Protesters at Central Bank for 24 hours,,http://www.dailystar.com.lb/News/Lebanon-News/2019/Nov-26/496278-protests-slow-on-41st-day-of-uprising-following-night-of-tension.ashx,,,,,,,,,,,,,
