recordnumber,coderinitials,datecoded,narrative,nameofevent,startdate,endate,ongoing,governorate,district,location,gpslatend,gpslongend,locationtypeend,gpslatstart,gpslongstart,locationtypestart,sizeexact,sizeestimate,sizetext,endsize,demandtypeone,demandtypetwo,demandother,govresign,antiUS,antiIran,antiSoleimani,proUS,proIran,proSoleimani,slogans,organizer,orgtypefirst,orgtypesecond,youth/students,laborers/workers,unions/syndicates,peasants/farmers,party members,activists/movts,gov workers,business,residents,islamists,kurds,christians,tribes,soldiers,police,NGOs/CSOs,womensgroups,refugees,participantother,sector,industryfirst,industrysecond,tacticprimary,tacticsecondary,campaign,violence,propertydamage,repression,teargas,rubberbullets,shootinginair,liveammo,sticks,surround,dogs,cleararea,policerepress,milrepress,beltegeyyarepress,militiarepress,partyrepress,employerrepress,ISISrepress,otherrepress,killed,injured,arrested,response,responsetext,sourcename1,articletitle1,articledate1,pagenum1,URL1,DB1,sourcename2,articletitle2,articledate2,pagenum2,URL2,DB2,sourcename3,articletitle3,articledate3,pagenum3,URL3,DB3,counts
201909003,ND,2020-01-30,تظاهر أمام محافظة واسط، عمال بلدية الكوت، مطالبين بتنفيذ قرار 12 لسنة 2019 القاضي بنقل عمال الاجور اليومية الى صنف عمال عقود,,2019-09-12,,0,Wassit,,مجلس المحافظة ,32.503902,45.824279,Government building,,,,,-99,,,Labor,Contracts,Wages,0,0,0,0,0,0,0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Public,Municipality workers,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities refusing demands,دائرة البلدية وعضو مجلس المحافظة لم يعترفا بالقرار بعذر أن كتاب القرار لم يصل إليهم بعد.,T-SH,عمال بلدية الكوت الاجراء يتظاهرون لتحويلهم إلى عقود,2019-09-15,3,https://tareeqashaab.com/images/TariqPDF/2019/9/15.pdf,https://www.dropbox.com/s/61fy3kq5dw74ixb/20193003.1.pdf?dl=0,,,,,,,,,,,,,1
201909025,ND,2020-05-11,اعتقلت شرطة مكافحة الشغب 50 متظاهراً قطعوا الشارع الرئيسي بحي حمزة الغربي احتجاجاً على ضعف الخدمات.,,2019-09-12,,0,Babylon,,حي حمزة الغربي,32.399111,44.669595,Main road,,,,,-99,,,Social,Infrastructure,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,Roadblock or blockade,,,None,None,Arrests / detentions,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,50,Authorities not responding or ignoring,,ACLED,anti-riot police arrested 50 demonstrators who cut off the main street in al-Hamza al-Gharbi district to protest against poor services,2019-09-12,0,,,,,,,,,,,,,,,1
201909024,ND,2020-05-11,تظاهر العشرات من حاملي الشهادات العليا أمام مبنى مجلس الوزراء في العلاوي وسط بغداد مطالبين بتعيينهم في مناصب حكومية.,,2019-09-12,,0,Baghdad,,مجلس الوزراء,33.317635,33.317635,Government building,,,,,31,عشرات ,,Labor,Unemployment,Hiring,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,ACLED,dozens of holders of higher degrees protested in front of the cabinet building in al-Allawi in central Baghdad demanding that they are appointed in government positions,2019-09-12,0,,,,,,,,,,,,,,,1
201909007,ND,2020-01-31,اعتصم عشرات الأطباء البيطريين من العاملين بنظام العقود في ساحة التحرير وسط بغداد، مطالبين بالحصول على وظائف حكومية,,2019-09-13,2019-09-24,1,Baghdad,,ساحة التحرير,33.326872,44.408266,Midan,,,,,31,العشرات,,Labor,Contracts,Unemployment,0,0,0,0,0,0,0,,نقابة الاطباء البيطريين,Union / syndicate / workers federation,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Semi-public/mixed,Health,,Occupation / sit-in,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities refusing demands,وزير الزراعة خلال مقابلتهم له، بينّ أنه رفع كتابا الى وزارة المالية للسماح بإطلاق الدرجات الوظيفية ، في حين اكدت الاخيرة عدم وجود تخصيصات مالية لذلك.,T-SH,اعتصام مطلبي للأطباء البيطريين المتعاقدين في بغداد,2019-09-18,2,https://tareeqashaab.com/images/TariqPDF/2019/9/18.pdf,https://www.dropbox.com/s/34tqbbm97bgg3n6/20193007.1.pdf?dl=0,T-SH,خريجو الطب البيطري والادارة والاقتصاد وهندسة النفط يواصلون الاعتصام مطالبين بفرص العمل,2019-09-24,2,https://tareeqashaab.com/images/TariqPDF/2019/9/24.pdf,https://www.dropbox.com/s/9kz127s4u38gqb0/20193007.2.pdf?dl=0,,,,,,,1
201909002,ND,2020-01-30,نظمت نقابة الاطباء البيطريين اعتصاما مفتوحا في ساحة التحرير ببغداد شارك فيه المئات من الاطباء البيطريين الوافدين من جميع المحافظات، مطالبين بتفعيل واقرار قانون التدرج الطبي واقرار 3000 درجة وظيفية في موازنة 2020 وإطلاق القروض الميسرة للأطباء البيطريين لإقامة مشاريعهم الخاصة,,2019-09-13,,0,Baghdad,,ساحة التحرير,33.328414,44.407772,Midan,,,,,301,المئات,,Labor,Hiring,Job security / promotions,0,0,0,0,0,0,0,,نقابة الاطباء البيطريين,Union / syndicate / workers federation,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,تحالف سائرون,Semi-public/mixed,Health,,Occupation / sit-in,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,T-SH,الاطباء البيطريون يعتصمون في ساحة التحرير ,2019-09-15,3,https://tareeqashaab.com/images/TariqPDF/2019/9/15.pdf,https://www.dropbox.com/s/827mxog98o86q5n/20193002.1.pdf?dl=0,,,,,,,,,,,,,1
201909006,ND,2020-01-31,واصل عمال بلدية الكوت، تظاهراتهم المستمرة منذ ثلاثة أيام، أمام مبنى المحافظة مطالبين بتفعيل قرار مجلس رقم 315.,,2019-09-14,,0,Wassit,,مجلس المحافظة ,32.50367,45.824568,Government building,,,,,-99,,,Labor,Contracts,Wages,0,0,0,0,0,0,0,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Public,Municipality workers,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negotiations ongoing,اكد نائب المحافظ متابعته وتبنيه للموضوع شخصيا,T-SH,عمال الكوت يواصلون الاحتجاج أمام مبنى المحافظة,2019-09-17,2,https://tareeqashaab.com/images/TariqPDF/2019/9/17.pdf,https://www.dropbox.com/s/0w6zwx4kk7ft2il/20193006.1.pdf?dl=0,,,,,,,,,,,,,1
201909026,ND,2020-05-11,تظاهر 15 شاباً من مدينة البصرة امام مديرية التربية والتعليم بمدينة البصرة مطالبين بالتعيين والتوظيف,,2019-09-14,,0,Basrah,,مديرية التربية,30.54958,47.797916,Government building,,,,15,,15,,Labor,Unemployment,,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,ACLED,"15 young men from Basrah city, protested at the education directorate in Basrah city demanding appointment and employment",2019-09-14,0,,,,,,,,,,,,,,,1
201909005,ND,2020-01-31,واصل عمال بلدية الكوت، تظاهراتهم المستمرة منذ ثلاثة أيام، أمام مبنى المحافظة مطالبين بتفعيل قرار مجلس رقم 315.,,2019-09-15,,0,Wassit,,مجلس المحافظة ,32.503661,45.824198,Government building,,,,,-99,,,Labor,Contracts,Wages,0,0,0,0,0,0,0,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Public,Municipality workers,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,T-SH,عمال الكوت يواصلون الاحتجاج أمام مبنى المحافظة,2019-09-17,2,https://tareeqashaab.com/images/TariqPDF/2019/9/17.pdf,https://www.dropbox.com/s/utz44z2vjur4cjc/20193005.1.pdf?dl=0,,,,,,,,,,,,,1
201909028,ND,2020-05-11,قوات الشرطة تفرق مظاهرة بعد أن أصيب عشرة من رجال الشرطة بجروح من قبل مثيري الشغب الذين أقاموا حواجز وحرقوا الإطارات ورشقوا الحجارة وقطع الزجاج على قوات الشرطة في الحمزة بمحافظة الديوانية ، رافضين تحركات عناصر المحافظة لاستبدالها. رئيس بلدية الحي,,2019-09-15,,0,Qadissiya,Hamza,قضاء الحمزة ,,,Main road,,,,,-99,,,Politics (local),Local opposition,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,Demonstration / protest,Roadblock or blockade,,Brawl or gang violence,Mob action but no property damage,Injuries inflicted,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,10,0,Authorities not responding or ignoring,,ACLED,"police forces dispersed a demonstration after ten police officers were injured by rioters who had set up barricades burning tires and threw stones and pieces of glass at police forces in al-Hamza in Diwaniyah province, in rejection of the moves by members of the province to replace the mayor of the district",2019-09-15,0,,,,,,,,,,,,,,,1
201909027,ND,2020-05-11,اعترض خريجو كلية طب الأسنان أمام مجلس وزراء حكومة إقليم كردستان في مبنى مدينة السليمانية ، قائلين إن على الحكومة زيادة توظيف أطباء الأسنان المؤهلين.,,2019-09-15,,0,Sulaymaniyah,Sulaymaniya,مجلس الوزراء,,,Government building,,,,,-99,,,Labor,Unemployment,,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,ACLED,"graduates of the Dentistry College protested in front of the Kurdistan Regional Government's (KRG) Council of Ministers in Sulaymaniyah city building, saying that the government should increase its hiring of qualified dentists.",2019-09-15,0,,,,,,,,,,,,,,,1
201909004,ND,2020-01-31,واصل عمال بلدية الكوت، تظاهراتهم المستمرة منذ ثلاثة أيام، أمام مبنى المحافظة مطالبين بتفعيل قرار مجلس رقم 315.,,2019-09-16,,0,Wassit,,مجلس المحافظة ,32.503994,45.823975,Government building,,,,,-99,,,Labor,Contracts,Wages,0,0,0,0,0,0,0,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Public,Municipality workers,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,T-SH,عمال الكوت يواصلون الاحتجاج أمام مبنى المحافظة,2019-09-17,2,https://tareeqashaab.com/images/TariqPDF/2019/9/17.pdf,https://www.dropbox.com/s/vdyhovi10bj6irp/20193004.1.pdf?dl=0,,,,,,,,,,,,,1
201909029,ND,2020-05-11,تظاهر عدد من الأطباء وفنيي التخدير في السماوة أمام مستشفى الحسين مطالبين بتزويدهم بمساحات سكنية.,,2019-09-16,,0,Muthanna,,مستشفى الحسين,31.32006,45.274103,Hospital,,,,,-99,,,Labor,Job security / promotions,residential spaces,0,0,0,0,0,0,0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Public,Health,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,ACLED, a number of doctors and anesthesia technicians in al-Samawah protested in front of the al Hussein hospital demanding that they are provided with residential spaces,2019-09-16,0,,,,,,,,,,,,,,,1
201909015,ND,2020-02-03,تظاهر العشرات من الفلاحين بمحافظة البصرة للمطالبة بتعويضات عن أضرار سيول الأمطار التي دمرت اراضي زراعية خلال الاشهر الماضية، وقطع المتظاهرون الطرق المؤدية إلى حقل مجنون النفطي احتجاجا على عدم إيفاء الحكومة العراقية بوعودها ,,2019-09-16,,0,Basrah,,حقل مجنون النفطي ,31.072145,47.60993,Factory or industrial site,,,,,31,العشرات,,Labor,Rights of businessmen,Compensation,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Private,Agriculture,,Demonstration / protest,Roadblock or blockade,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negotiations ongoing, مطالب المتظاهرين تم رفعها إلى محافظ البصرة بغية نقلها إلى الحكومة الاتحادية,MD,فلاحو البصرة يقطعون طريق حقل مجنون للمطالبة بتعويضهم,2019-09-17,1,https://almadapaper.net/file/archiveto2615/4513/43808.pdf?__cf_chl_jschl_tk__=b7d26bcb8351fd9b657b8ddaba0f361059875f65-1580747531-0-AepZn5gx5NO4dri4s3lF6Adi2eagnityMbY6DCDzwhBZt4V_v6zJL29w0umADIN-mGZyEMkFdwQbIFccSzDFJ4GWoEc4Qv2PVyVIffYc7PumkW0ysui0v2UJ18RM7CghB-7mY8dCcDmRfjPE3TfGiXJ0QTiaopCSIb1yqnExS_Ik2lbd7EtEDk3_vCCAghAN2Eu6xrpN8MmgV2-QmcJxJAPYkGu7j_L5R4Xecd59ri8df1_rlq0m_72WQ-0vXrfUlQoBwnXTFNV98s9qCdJIXiRh_0-zZrX626Wg3XMh3lkpl_hOEqRe-mVJs8ktOV5mptkKn30P3Vi1UKTc6DuxNWEhHfT7twv4WzZoM3X9T5qbVPGEvdQsidICKOURRzfqbQ,https://www.dropbox.com/s/9gz3uaj78cwzziu/20193015.1.pdf?dl=0,ACLED,dozens of farmers in Basrah district protested demanding compensation for flooding which damaged agricultural lands in the past month,2019-09-16,0,,,,,,,,,1
201909030,ND,2020-05-11,تظاهر عشرات عمال اليومية والموظفين المتعاقدين بمستشفى النساء والأطفال بمحافظة الديوانية مطالبين بالإفراج عن رواتبهم التي تأخرت عن الأشهر الثلاثة الماضية.,,2019-09-16,,0,Qadissiya,,مستشفى النساء والأطفال,31.99282,44.912732,Hospital,,,,,31,عشرات,,Labor,Wages,,0,0,0,0,0,0,0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Public,Health,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,ACLED,dozens of daily wagers and contracted employees of the Women and Children Hospital in Diwaniyah province protested demanding the release of their paychecks which have been delayed for the past 3 months,2019-09-16,0,,,,,,,,,,,,,,,1
201909031,ND,2020-05-11,قامت قوات الأمن بإطلاق النار بشكل كثيف في الهواء لتفريق متظاهري أصحاب المنازل التي تم تجاوزها والتي دمرتها البلدية في مدينة كربلاء ، وكان المتظاهرون يحاولون اقتحام مبنى المجلس وعبروا نقاط التفتيش الخرسانية والبشرية أمام  باب المبنى.,,2019-09-18,,0,Kerbala,,مجلس المحافظة ,32.606057,44.032314,Government building,,,,,-99,,,Environmental,Land use,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,Mass attack or mob,,,Riot,Mob action but no property damage,Physical harassment,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,ACLED,"the security forces fired heavily into the air to disperse the demonstrators of the transgressed houses' owners that were demolished by the municipality in Kerbala city, the demonstrators were trying to break into the council building and crossed the concrete and human checkpoints in front of the building's door",2019-09-18,0,,,,,,,,,,,,,,,1
201909033,ND,2020-05-12,نظم عشرات الرياضيين وممثلي اللجان الرياضية في منطقة الزبير غربي محافظة البصرة وقفة احتجاجية أمام استاد الزبير ضد إحالة مشروع استثماري في منطقة الأثر على الساحات الرياضية المستخدمة في أنشطتهم الرياضية لأكثر من 30 عامًا ، وصفوها بأنها منفذهم الرياضي الوحيد,,2019-09-19,,0,Basrah,,استاد الزبير,30.400766,47.699993,Infrastructure,,,,,31,عشرات,,Social,Infrastructure,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,الرياضيين وممثلي اللجان الرياضية,,,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,ACLED,"dozens of athletes and representatives of sports committees in Al-Zubair district western Basra province organized a vigil in front of Al-Zubair Stadium against the referral of an investment project in Al-Athar area on their sports arenas used for their sports activities for more than 30 years, which they described as their sole sporting outlet ",2019-09-19,0,,,,,,,,,,,,,,,1
201909034,ND,2020-05-12,احتج مئات المزارعين في المثنى مطالبين بدعم الزراعة ودعما للخطوات التي اتخذتها وزارة الزراعة لحماية المنتج المحلي وتوسيع مشاريع الاستثمار الزراعي.,,2019-09-19,,0,Muthanna,Al-Samawa,السماوة,,,Cannot be determined,,,,,301,مئات,,Labor,Rights of businessmen,,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Demonstration / protest,,,None,None,"No known coercion, no security presence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Authorities not responding or ignoring,,ACLED,hundreds of farmers in Muthanna protested demanding support for agriculture and in support of the steps taken by the Ministry of Agriculture to protect the local product and expand agricultural investment projects. ,2019-09-19,0,,,,,,,,,,,,,,,1
